example_id,label,statement,law_id,article_id,segment
q9zjh7Uw7Q,No,Người xem dưới 16 tuổi được xem phim có nội dung thuộc phân loại T18,Luật Điện ảnh 2022,32,Người xem dưới 16 tuổi được xem phim có nội_dung thuộc phân_loại T18
ckQFn8y202,No,"Trong vòng 03 ngày làm việc, kể từ ngày người cai nghiện ma túy sử dụng dịch vụ hoặc tự ý chấm dứt việc sử dụng dịch vụ hoặc hoàn thành dịch vụ phải thông báo cho Ủy ban nhân dân cấp xã nơi người đó đăng ký cai nghiện ma túy tự nguyện tại gia đình, cộng đồng.","Luật Phòng, chống ma túy 2021",30,"Trong vòng 03 ngày làm_việc , kể từ ngày người cai_nghiện ma_tuý sử_dụng dịch_vụ hoặc tự_ý chấm_dứt việc sử_dụng dịch_vụ hoặc hoàn_thành dịch_vụ phải thông_báo cho Uỷ_ban_nhân_dân cấp xã nơi người đó đăng_ký cai_nghiện ma_tuý tự_nguyện tại gia_đình , cộng_đồng ."
3ROu621ZEO,Yes,Viên chức có 02 năm liên tiếp bị phân loại đánh giá ở mức độ không hoàn thành nhiệm vụ,Luật Viên chức 2010,29,Viên_chức có 02 năm liên_tiếp bị phân_loại đánh_giá ở mức_độ không hoàn_thành nhiệm_vụ
VT1QuVmhCc,Yes,Các biện pháp cai nghiện ma túy là những biện pháp nào sau đây?. Trả lời: Cai nghiện ma túy tự nguyện và Cai nghiện ma túy bắt buộc,"Luật Phòng, chống ma túy 2021",28,Các biện_pháp cai_nghiện ma_tuý là những biện_pháp nào sau đây ? . Trả_lời : Cai_nghiện ma_tuý tự_nguyện và Cai_nghiện ma_tuý bắt_buộc
0MwITLtbmg,No,"Viên chức thuộc một đơn vị sự nghiệp công lập hiện tại không được tham gia hợp đồng vụ, việc với các đơn vị, cơ quan, tổ chức khác",Luật Viên chức 2010,14,"Viên_chức thuộc một đơn_vị sự_nghiệp công_lập hiện_tại không được tham_gia hợp_đồng vụ , việc với các đơn_vị , cơ_quan , tổ_chức khác"
iWBRVGwBcb,No,Người từ đủ 14 tuổi đến dưới 18 tuổi đang cai nghiện ma túy bắt buộc mà bị phát hiện thực hiện hành vi phạm tội trước hoặc trong thời gian chấp hành quyết định cai nghiện ma túy bắt buộc và bị Tòa án xử phạt tù nhưng không được hưởng án treo thì không được miễn chấp hành thời gian còn lại trong quyết định đưa vào cơ sở cai nghiện bắt buộc.,"Luật Phòng, chống ma túy 2021",39,Người từ đủ 14 tuổi đến dưới 18 tuổi đang cai_nghiện ma_tuý bắt_buộc mà bị phát_hiện thực_hiện hành_vi phạm_tội trước hoặc trong thời_gian chấp_hành quyết_định cai_nghiện ma_tuý bắt_buộc và bị Toà_án xử_phạt tù nhưng không được hưởng án_treo thì không được miễn_chấp hành thời_gian còn lại trong quyết_định đưa vào cơ_sở cai_nghiện bắt_buộc .
XsfBrLUkvw,No,"Trách nhiệm của Bộ Y tế trong việc phòng, chống ma túy là gì? Trả lời: Tổ chức công tác giám định chất ma túy và tiền chất","Luật Phòng, chống ma túy 2021",49,"Trách_nhiệm của Bộ Y_tế trong việc phòng , chống ma_tuý là gì ? Trả_lời : Tổ_chức công_tác giám_định chất ma_tuý và tiền chất"
bu3nyKAUNT,No,"Người xem từ 18 tuổi trở lên được pháp xem phim có nội dung thuộc phân loại K với điều kiện xem cùng cha, mẹ hoặc người giám hộ",Luật Điện ảnh 2022,32,"Người xem từ 18 tuổi trở lên được pháp xem phim có nội_dung thuộc phân_loại K với điều_kiện xem cùng cha , mẹ hoặc người giám_hộ"
msHHa3bELB,Yes,"Viên chức có quyền được đào tạo, bồi dưỡng nâng cao trình độ chính trị, chuyên môn, nghiệp vụ",Luật Viên chức 2010,11,"Viên_chức có quyền được đào_tạo , bồi_dưỡng nâng cao trình_độ chính_trị , chuyên_môn , nghiệp_vụ"
RVV34aoTvI,No,Cơ sở giáo dục thường xuyên bao gồm trường đại học hay viện nghiên cứu.,Luật Giáo dục 2019,44,Cơ_sở giáo_dục thường_xuyên bao_gồm trường đại_học hay viện nghiên_cứu .
M5lSCyhgJE,Yes,Người nghiện ma túy từ đủ 18 tuổi trở lên bị áp dụng biện pháp xử lý hành chính đưa vào cơ sở cai nghiện bắt buộc theo quy định của Luật Xử lý vi phạm hành chính khi bị phát hiện sử dụng chất ma túy một cách trái phép trong thời gian cai nghiện ma túy tự nguyện.,"Luật Phòng, chống ma túy 2021",32,Người nghiện ma_tuý từ đủ 18 tuổi trở lên bị áp_dụng biện_pháp xử_lý hành_chính đưa vào cơ_sở cai_nghiện bắt_buộc theo quy_định của Luật Xử_lý vi_phạm hành_chính khi bị phát_hiện sử_dụng chất ma_tuý một_cách trái_phép trong thời_gian cai_nghiện ma_tuý tự_nguyện .
XEJo5sXAMr,No,"Cơ quan, tổ chức, đơn vị quản lý viên chức ra quyết định nghỉ hưu đối với viên chức trong thời hạn 06 tháng tính đến ngày viên chức nghỉ hưu",Luật Viên chức 2010,46,"Cơ_quan , tổ_chức , đơn_vị quản_lý_viên_chức ra quyết_định nghỉ hưu đối_với_viên_chức trong thời_hạn 06 tháng tính đến ngày viên_chức nghỉ hưu"
sqjV9Bb2WH,Yes,"Mục tiêu của giáo dục đại học là nhằm đào tạo ra nhân lực trình độ cao, nâng cao dân trí và bồi dưỡng nhân tài.",Luật Giáo dục 2019,39,"Mục_tiêu của giáo_dục đại_học là nhằm đào_tạo ra nhân_lực trình_độ cao , nâng cao dân_trí và bồi_dưỡng nhân_tài ."
ZBC6orkgch,No,Có bao nhiêu trình độ đào tạo giáo dục đại học? Trả lời: 02 trình độ đào tạo giáo dục đại học,Luật Giáo dục 2019,38,Có bao_nhiêu trình_độ đào_tạo giáo_dục đại_học ? Trả_lời : 02 trình_độ đào_tạo giáo_dục đại_học
LQv3sLibDh,Yes,"Trách nhiệm của người sử dụng ma túy là phải chấp hành việc quản lý của cơ quan nhà nước, cụ thể là Ủy ban nhân dân cấp xã, phường.","Luật Phòng, chống ma túy 2021",24,"Trách_nhiệm của người sử_dụng ma_tuý là phải chấp_hành việc quản_lý của cơ_quan nhà_nước , cụ_thể là Uỷ_ban_nhân_dân cấp xã , phường ."
EQqD60Y271,Yes,"Cán bộ quản lý giáo dục là người giữ vai trò quan trọng trong việc quản lý, tổ chức, và điều hành các hoạt động giáo dục.",Luật Giáo dục 2019,18,"Cán_bộ quản_lý giáo_dục là người giữ vai_trò quan_trọng trong việc quản_lý , tổ_chức , và điều_hành các hoạt_động giáo_dục ."
fjoqioXeO1,No,"Trách nhiệm của Bộ Quốc phòng trong việc phòng, chống ma túy là gì? Trả lời: Thực hiện hợp tác quốc tế về cai nghiện ma túy","Luật Phòng, chống ma túy 2021",48,"Trách_nhiệm của Bộ Quốc_phòng trong việc phòng , chống ma_tuý là gì ? Trả_lời : Thực_hiện hợp_tác quốc_tế về cai_nghiện ma_tuý"
40giv2OvF6,No,Nhà trường bị giải thể trong trường hợp nào? Trả lời: Bảo đảm chất lượng giáo dục.,Luật Giáo dục 2019,51,Nhà_trường bị giải_thể trong trường_hợp nào ? Trả_lời : Bảo_đảm chất_lượng giáo_dục .
aS4Oxqxklj,Yes,Người từ 16 tuổi trở lên được phép xem phim có nội dung thuộc phân loại P,Luật Điện ảnh 2022,32,Người từ 16 tuổi trở lên được phép xem phim có nội_dung thuộc phân_loại P
g4rqqRWpdb,Yes,"Trong quá trình thực hiện hợp đồng làm việc, nếu một bên có yêu cầu thay đổi nội dung hợp đồng làm việc thì phải báo cho bên kia biết trước ít nhất 03 ngày làm việc",Luật Viên chức 2010,28,"Trong quá_trình thực_hiện hợp_đồng làm_việc , nếu một bên có yêu_cầu thay_đổi nội_dung hợp_đồng làm_việc thì phải báo cho bên kia biết trước ít_nhất 03 ngày làm_việc"
4dE11xmkXc,No,"Trước 03 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức phải thông báo bằng văn bản về thời điểm nghỉ hưu",Luật Viên chức 2010,46,"Trước 03 tháng , tính đến ngày viên_chức nghỉ hưu , cơ_quan , tổ_chức , đơn_vị quản_lý_viên_chức phải thông_báo bằng văn_bản về thời_điểm nghỉ hưu"
X2H73lQFHY,Yes,Không được phép lợi dụng hoạt động giáo dục để xuyên tạc chủ trương và chống phá nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam.,Luật Giáo dục 2019,21,Không được phép lợi_dụng hoạt_động giáo_dục để xuyên_tạc chủ_trương và chống_phá nhà_nước Cộng_hoà_xã_hội_chủ_nghĩa_Việt_Nam .
4bjolT6L3z,Yes,Chính phủ là cơ quan thống nhất quản lý nhà nước về thanh niên ,Luật Thanh niên 2020,37,Chính_phủ là cơ_quan thống_nhất quản_lý_nhà_nước về thanh_niên
zbVo7IuSOp,Yes,"Đoàn Thanh niên Cộng sản Hồ Chí Minh là cơ quan có trách nhiệm tổng hợp, phản ánh ý kiến, kiến nghị của thanh niên đến cơ quan, tổ chức có thẩm quyền",Luật Thanh niên 2020,28,"Đoàn Thanh_niên Cộng_sản Hồ_Chí_Minh là cơ_quan có trách_nhiệm tổng_hợp , phản_ánh ý_kiến , kiến_nghị của thanh_niên đến cơ_quan , tổ_chức có thẩm_quyền"
61bCyfsfYX,No,Cho phép truyền bá tôn giáo và thực hiện các nghi lễ tôn giáo trong cơ sở giáo dục của hệ thống giáo dục quốc dân và tổ chức chính trị.,Luật Giáo dục 2019,20,Cho_phép truyền_bá tôn_giáo và thực_hiện các nghi_lễ tôn_giáo trong cơ_sở giáo_dục của hệ_thống giáo_dục quốc_dân và tổ_chức chính_trị .
dIIYvZHbtq,No,Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật nhằm mục đích nào sau đây? Trả lời: Đi du học nước ngoài.,Luật Giáo dục 2019,64,Trường_giáo_dưỡng có nhiệm_vụ giáo_dục người chưa thành_niên vi_phạm pháp_luật nhằm mục_đích nào sau đây ? Trả_lời : Đi du_học nước_ngoài .
H6PxIjmdgH,Yes,"Nền giáo dục Việt Nam là nền giáo dục xã hội chủ nghĩa có tính nhân dân, và dân tộc, mang tính khoa học, hiện đại.",Luật Giáo dục 2019,3,"Nền giáo_dục Việt_Nam là nền giáo_dục xã_hội_chủ_nghĩa có tính_nhân_dân , và dân_tộc , mang tính khoa_học , hiện_đại ."
4O7z6fOAPJ,No,Khoảng thời gian cai nghiện ma túy tự nguyện tại cơ sở cai nghiện ma túy là bao lâu? Trả lời: Từ 48 tháng đến 60 tháng,"Luật Phòng, chống ma túy 2021",31,Khoảng thời_gian cai_nghiện ma_tuý tự_nguyện tại cơ_sở cai_nghiện ma_tuý là bao_lâu ? Trả_lời : Từ 48 tháng đến 60 tháng
gtjDrBrJ19,No,"Trong vòng 05 ngày làm việc, kể từ ngày nhận được kết quả xét nghiệm dương tính của người cư trú tại địa phương, Chủ tịch Ủy ban nhân dân cấp xã, phường có trách nhiệm ra quyết định và tổ chức quản lý người sử dụng trái phép chất ma túy cư trú tại địa phương.","Luật Phòng, chống ma túy 2021",23,"Trong vòng 05 ngày làm_việc , kể từ ngày nhận được kết_quả xét_nghiệm dương_tính của người cư_trú tại địa_phương , Chủ_tịch Uỷ_ban_nhân_dân cấp xã , phường có trách_nhiệm ra quyết_định và tổ_chức quản_lý người sử_dụng trái_phép chất ma_tuý cư_trú tại địa_phương ."
LxjhKFcDMD,No,"Thứ trưởng Bộ Giáo dục và Đào tạo trong phạm vi nhiệm vụ, quyền hạn của mình, quy định chi tiết về chương trình, sách giáo khoa, giáo trình, tài liệu cho giáo dục thường xuyên.",Luật Giáo dục 2019,43,"Thứ_trưởng Bộ Giáo_dục và Đào_tạo trong phạm_vi nhiệm_vụ , quyền_hạn của mình , quy_định chi_tiết về chương_trình , sách_giáo_khoa , giáo_trình , tài_liệu cho giáo_dục thường_xuyên ."
jnGYfFIs7N,Yes,"Thanh niên hoàn thành nghĩa vụ quân sự, nghĩa vụ tham gia Công an nhân dân được hưởng chính sách hỗ trợ đào tạo nghề theo quy định",Luật Thanh niên 2020,21,"Thanh_niên hoàn_thành nghĩa_vụ_quân_sự , nghĩa_vụ tham_gia Công_an nhân_dân được hưởng chính_sách hỗ_trợ đào_tạo nghề theo quy_định"
E3nezW9AK0,No,Phim loại C là phim được phép phổ biến đến người xem ở mọi độ tuổi,Luật Điện ảnh 2022,32,Phim loại C là phim được phép phổ_biến đến người xem ở mọi độ tuổi
NILu7qLntt,Yes,"Hình thức đào tạo, bồi dưỡng viên chức gồm: Đào tạo, bồi dưỡng theo tiêu chuẩn chức vụ quản lý, bồi dưỡng theo tiêu chuẩn chức danh nghề nghiệp, và bồi dưỡng nhằm bổ sung, cập nhật kiến thức, kỹ năng phục vụ hoạt động nghề nghiệp. ",Luật Viên chức 2010,33,"Hình_thức đào_tạo , bồi_dưỡng_viên_chức gồm : Đào_tạo , bồi_dưỡng theo tiêu_chuẩn chức_vụ quản_lý , bồi_dưỡng theo tiêu_chuẩn chức_danh nghề_nghiệp , và bồi_dưỡng nhằm bổ_sung , cập_nhật kiến_thức , kỹ_năng phục_vụ hoạt_động nghề_nghiệp ."
HxZtqBzeEZ,Yes,Tháng 3 hằng năm là Tháng Thanh niên,Luật Thanh niên 2020,9,Tháng 3 hằng năm là Tháng_Thanh niên
BkupPYuKXv,Yes,"Bộ trưởng Bộ Giáo dục và Đào tạo không được quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên.",Luật Giáo dục 2019,6,"Bộ_trưởng Bộ Giáo_dục và Đào_tạo không được quy_định ngưỡng đầu vào trình_độ cao_đẳng , trình_độ đại_học thuộc ngành đào_tạo giáo_viên ."
3ZjbFGpytH,No,Người đứng đầu đơn vị sự nghiệp công lập đơn phương có quyền quyết định ký kết tiếp hoặc chấm dứt hợp đồng làm việc đối với viên chức.,Luật Viên chức 2010,28,Người đứng đầu_đơn vị sự_nghiệp công_lập đơn_phương có quyền quyết_định ký_kết tiếp hoặc chấm_dứt hợp_đồng làm_việc đối_với_viên_chức .
6T9RLlCXIy,No,"Đơn vị sự nghiệp có quyền đơn phương chấm dứt hợp đồng đối với viên chức khi viên chức ốm đau hoặc bị tai nạn, đang điều trị bệnh nghề nghiệp theo quyết định của cơ sở chữa bệnh",Luật Viên chức 2010,29,"Đơn_vị sự_nghiệp có quyền đơn_phương chấm_dứt hợp_đồng đối_với_viên_chức khi viên_chức ốm_đau hoặc bị tai_nạn , đang điều_trị bệnh_nghề_nghiệp theo quyết_định của cơ_sở chữa bệnh"
